date,temp,humidity,precipitation
2017/12/01,19.229166666666668,79.5,1.0
2017/12/02,19.379166666666666,84.29166666666667,2.0
2017/12/03,20.38333333333333,81.75,0.0
2017/12/04,19.983333333333334,68.41666666666667,0.0
2017/12/05,16.895833333333336,65.54166666666667,1.0
2017/12/06,16.475000000000005,71.45833333333333,0.0
2017/12/07,17.270833333333336,86.75,22.0
2017/12/08,15.104166666666666,72.0,9.0
2017/12/09,15.22916666666667,80.875,5.0
2017/12/10,17.299999999999994,78.54166666666667,0.0
2017/12/11,18.075,61.708333333333336,0.0
2017/12/12,17.045833333333334,81.41666666666667,9.0
2017/12/13,17.4375,83.83333333333333,0.0
2017/12/14,19.07916666666667,76.66666666666667,0.0
2017/12/15,21.079166666666666,71.45833333333333,0.0
2017/12/16,17.46666666666667,76.875,0.0
2017/12/17,13.487499999999999,78.83333333333333,0.0
2017/12/18,14.700000000000003,85.08333333333333,3.0
2017/12/19,14.425000000000002,85.41666666666667,9.0
2017/12/20,16.395833333333332,65.04166666666667,0.0
2017/12/21,16.620833333333334,56.833333333333336,0.0
2017/12/22,20.033333333333328,59.541666666666664,0.0
2017/12/23,21.516666666666666,63.625,0.0
2017/12/24,19.27916666666667,70.79166666666667,0.0
2017/12/25,17.116666666666667,57.708333333333336,0.0
2017/12/26,18.583333333333332,65.33333333333333,0.0
2017/12/27,18.845833333333335,64.66666666666667,0.0
2017/12/28,20.695833333333336,67.75,0.0
2017/12/29,19.4625,85.0,4.0
2017/12/30,18.22083333333333,86.41666666666667,1.0
2017/12/31,15.975,81.125,1.0
