date,temp,humidity,precipitation
2017/09/01,27.633333333333336,78.625,44.0
2017/09/02,26.354166666666668,81.08333333333333,14.0
2017/09/03,25.691666666666663,85.41666666666667,58.0
2017/09/04,28.275000000000002,77.29166666666667,0.0
2017/09/05,30.354166666666668,68.66666666666667,0.0
2017/09/06,31.941666666666666,62.791666666666664,0.0
2017/09/07,30.845833333333342,66.58333333333333,0.0
2017/09/08,29.458333333333332,74.16666666666667,32.0
2017/09/09,29.341666666666665,72.5,2.0
2017/09/10,29.82083333333334,68.45833333333333,0.0
2017/09/11,30.366666666666678,61.541666666666664,0.0
2017/09/12,30.15833333333333,64.5,5.0
2017/09/13,26.97916666666667,75.375,22.0
2017/09/14,26.854166666666675,68.0,10.0
2017/09/15,29.858333333333338,57.583333333333336,0.0
2017/09/16,29.637500000000003,57.458333333333336,0.0
2017/09/17,27.545833333333334,59.541666666666664,0.0
2017/09/18,27.224999999999998,57.333333333333336,0.0
2017/09/19,29.820833333333336,57.583333333333336,0.0
2017/09/20,30.97916666666666,58.041666666666664,0.0
2017/09/21,30.862499999999997,58.625,0.0
2017/09/22,30.72500000000001,61.083333333333336,0.0
2017/09/23,32.108333333333334,57.666666666666664,0.0
2017/09/24,31.358333333333338,58.708333333333336,0.0
2017/09/25,30.745833333333334,59.208333333333336,0.0
2017/09/26,31.5625,56.666666666666664,0.0
2017/09/27,32.041666666666664,53.875,0.0
2017/09/28,30.658333333333335,58.208333333333336,0.0
2017/09/29,28.729166666666668,69.70833333333333,0.0
2017/09/30,29.895833333333332,63.583333333333336,0.0
