date,temp,humidity,precipitation
2017/01/01,22.608333333333334,65.875,0.0
2017/01/02,21.379166666666663,73.125,0.0
2017/01/03,20.66666666666666,82.70833333333333,0.0
2017/01/04,23.208333333333332,73.16666666666667,0.0
2017/01/05,22.379166666666674,74.54166666666667,0.0
2017/01/06,22.212500000000002,78.125,0.0
2017/01/07,22.641666666666666,79.08333333333333,0.0
2017/01/08,20.1875,78.33333333333333,0.0
2017/01/09,17.654166666666672,69.41666666666667,0.0
2017/01/10,18.67083333333333,65.75,0.0
2017/01/11,19.524999999999995,72.79166666666667,0.0
2017/01/12,19.962499999999995,79.54166666666667,0.0
2017/01/13,15.745833333333332,83.33333333333333,7.0
2017/01/14,13.741666666666665,82.83333333333333,13.0
2017/01/15,13.962499999999999,81.45833333333333,2.0
2017/01/16,15.100000000000001,78.58333333333333,1.0
2017/01/17,19.174999999999994,71.70833333333333,0.0
2017/01/18,20.15,78.25,0.0
2017/01/19,19.345833333333335,79.95833333333333,0.0
2017/01/20,14.258333333333335,72.83333333333333,2.0
2017/01/21,14.258333333333338,68.33333333333333,0.0
2017/01/22,14.933333333333335,59.125,0.0
2017/01/23,14.6875,61.208333333333336,0.0
2017/01/24,14.458333333333334,74.375,0.0
2017/01/25,15.370833333333335,75.33333333333333,0.0
2017/01/26,16.395833333333332,66.375,0.0
2017/01/27,18.512500000000003,69.79166666666667,0.0
2017/01/28,20.337500000000006,75.08333333333333,2.0
2017/01/29,20.745833333333326,74.29166666666667,0.0
2017/01/30,17.520833333333336,77.875,0.0
2017/01/31,16.087500000000002,78.625,0.0
